Fréquence (Hz)	Niveau (dB)
7136,718750	-88,982040
7148,437500	-88,559814
7160,156250	-88,337975
7171,875000	-88,737442
7183,593750	-88,819168
7195,312500	-89,163864
7207,031250	-89,363945
7218,750000	-88,690544
7230,468750	-88,105637
7242,187500	-88,290581
7253,906250	-88,151672
7265,625000	-88,435570
7277,343750	-88,736259
7289,062500	-89,359291
7300,781250	-89,265068
7312,500000	-89,062248
7324,218750	-89,460892
7335,937500	-89,542053
7347,656250	-89,683800
7359,375000	-89,437263
7371,093750	-89,407578
7382,812500	-89,619781
7394,531250	-89,591431
7406,250000	-89,218063
7417,968750	-89,323395
7429,687500	-89,627136
7441,406250	-89,261307
7453,125000	-89,277275
7464,843750	-89,376808
7476,562500	-89,139160
7488,281250	-89,362358
7500,000000	-89,409203
7511,718750	-89,172417
7523,437500	-89,054909
7535,156250	-89,654678
7546,875000	-89,412918
7558,593750	-89,882980
7570,312500	-90,098068
7582,031250	-90,324760
7593,750000	-90,468040
7605,468750	-90,688072
7617,187500	-90,673851
7628,906250	-89,808998
7640,625000	-89,567093
7652,343750	-89,619850
7664,062500	-89,388680
7675,781250	-89,505943
7687,500000	-89,437050
7699,218750	-89,804123
7710,937500	-89,511208
7722,656250	-89,502357
7734,375000	-90,100456
7746,093750	-90,127274
7757,812500	-90,113464
7769,531250	-90,622543
7781,250000	-90,866280
7792,968750	-90,916878
7804,687500	-90,743149
7816,406250	-90,762123
7828,125000	-90,414795
7839,843750	-90,473579
7851,562500	-90,878662
7863,281250	-90,834450
7875,000000	-91,069252
7886,718750	-91,726471
7898,437500	-91,237000
7910,156250	-90,761932
7921,875000	-90,380653
7933,593750	-90,806030
7945,312500	-90,948715
7957,031250	-91,417953
7968,750000	-91,568344
7980,468750	-91,390160
7992,187500	-91,654411
8003,906250	-91,213448
8015,625000	-91,302788
8027,343750	-91,916588
8039,062500	-91,665657
8050,781250	-91,356422
8062,500000	-91,560959
8074,218750	-91,822655
8085,937500	-92,101273
8097,656250	-91,888550
8109,375000	-91,301788
8121,093750	-91,225159
8132,812500	-91,191368
8144,531250	-91,115829
8156,250000	-91,039955
8167,968750	-91,492325
8179,687500	-91,679642
8191,406250	-91,571419
8203,125000	-91,405228
8214,843750	-90,905418
8226,562500	-90,859581
8238,281250	-91,007484
8250,000000	-90,998932
8261,718750	-91,006836
8273,437500	-91,735603
8285,156250	-92,217796
8296,875000	-92,086403
8308,593750	-91,799957
8320,312500	-91,530151
8332,031250	-91,677872
8343,750000	-91,301987
8355,468750	-91,069611
8367,187500	-91,012138
8378,906250	-90,861610
8390,625000	-91,007713
8402,343750	-91,465668
8414,062500	-91,323669
8425,781250	-91,292427
8437,500000	-91,465889
8449,218750	-91,080589
8460,937500	-91,126305
8472,656250	-91,136292
8484,375000	-91,235382
8496,093750	-90,964424
8507,812500	-90,943138
8519,531250	-90,739197
8531,250000	-90,500305
8542,968750	-90,441109
8554,687500	-90,909538
8566,406250	-91,246284
8578,125000	-91,604218
8589,843750	-91,819389
8601,562500	-91,676849
8613,281250	-91,714371
8625,000000	-91,462891
